Mixture	CD4	CD8	CTL1	CTL2	Endothelial	Erythroid	ImmatureB	Mature	mDC	memBcell	Mono1	Mono2	Mono3	Monocyte	NK	NKT	Osteoblasts	Osteoclasts	pDC	Pericytes	ProB	Progenitors	TAM	Th117	TIM	TregA	TregR	Tumor	P-value	Correlation	RMSE
DTB.035.H	0.00508737997837288	0.011851646514883	0.0289862332504205	0.075604681066814	0.0439098220872034	0.0129650744035183	0.010733806086969	0.0156148414050422	0	0.0194413778774003	0	0.0172336802269744	0.0220395180208037	0.0679279023949683	0.00221614992744777	0.00658523801018909	0.00425057822219847	0.000467435394222623	0.0119284730456473	0.0304439389811578	0.0216018922083206	0.00197092638506465	0.00931049029851088	0.00533389563351018	0.0623307426215971	0.0167612234390009	0.0144588565365272	0.480944195983235	0	0.647380213583223	0.853947298885213
DTB.036.BL	0.0590365692402295	0.00202350880160901	0	0.0733987668766054	0.0562464087884323	0.0054538665571171	0.0124404356110363	0	0	0.0210489779802565	0	0.0217091855743655	0.0360204764248473	0.216433391858703	0.041756914373656	0.0149844167231542	0.0392214416841135	0	0.0297007588033362	0.0212856082657818	0.0125353766687975	0.159379079605481	0.0184267980988273	0	0.00105423893939686	0.0358550257531335	0.00690693759207917	0.115081815779041	0	0.680674442705745	0.834934479205494
DTB.037.A	0.0885211885541517	0.00485694860544566	0.0142655268522094	0.066070568940468	0.0531653179004946	0.0169755198447188	0.00268706658529502	0.028208233134003	0	0.0318909454995492	0.00501335999128907	0.00228583511109495	0.0209663334868156	0.0719179398130379	0.0266089324148318	0	0.00508235879980949	0.00114990256023615	0.0116764840395674	0.00743214197703256	0.0228876520612796	0.0308985144850355	0.00627514790089916	0.019906265234019	0.0220725357835535	0.0238874188384797	0.00206915117871549	0.413228710407968	0	0.428350800825178	0.92519621162305
DTB.040.E	0.0892397866789984	0.0110240101947035	0	0.103997019906612	0.0498902717033245	0.00968528087154498	0.00938102954112903	0	0	0.0207095734243466	0	0.0159666968770069	0.033800074396457	0.155724492671978	0.0359908720988983	0	0.0223520417101785	8.80341621046078e-05	0.0313287547126205	0.0157913227315748	0.0199669192284502	0.157670333523226	0.0114305189577631	0	0.0206673843384967	0.0336924748470113	0.0129670929629168	0.138636014460659	0	0.573111495005283	0.8883452673051
DTB.053.BL	0.0200271484080356	0.00560988438602833	0	0.0553835589948261	0.0352435703822427	0.0229089516196581	0.00298763346080613	0.00303877392986919	0	0	0	0.0158811212435273	0.0189829409887764	0.174921182460462	0.0222354830307823	0.00403802391248917	0.0220356333869224	0.000419565314521786	0.0191790623843658	0.0150145871113263	0.01288933192617	0.0741613584506223	0.0464707045622495	0.00684847258353236	0.0156454651638525	0.0258002797602022	0.0106125242278229	0.369664742310909	0	0.606933971855162	0.86877417128772
DTB.061.E	0.112908453888137	0	0.0148911565859635	0.0693667857506954	0.0705290382407538	0.0206256946649347	0.0108434597886425	0	0	0.00387199041468527	0	0.0365433222166365	0.0313618870518495	0.065023152432234	0.0299560302056823	0.0124220404126505	0.0388521235192394	0	0.0103383740030789	0.0376091639524094	0.0215311716982095	0.0385276501911621	0.0303230422854443	0	0.088788300981906	0.0205591867343863	0.011296280099791	0.223831694881508	0	0.462245725280535	0.901913122342912
DTB.067.ProB	0.0123571867581915	0.0260017392179912	0.0283710275273071	0.0684875035151433	0.0415136724137756	0.00565616621088194	0.0125800689815727	0	0	0.00347768681857396	0	0.0210653328366669	0.0620920919591748	0.0821998817581971	0.0286369310339935	0	0.0165925215725233	0	0.014691530196113	0.0138806765047032	0.0238157668862141	0.0326579658095139	0.0218894851586124	0.0275017429792624	0.0283595110981479	0.0349436688171161	0.0111076281165513	0.382120213829773	0	0.57149897278116	0.881816305292288
DTB.069.E	0.0146545252435424	0.0125896446360108	0.00906331496614746	0.0639822434660038	0.0208579890664018	0.010515231822973	0.00971240777977868	0.0104969379152995	0	0.0261488631828487	0	0.00637371910407533	0.00388410632068448	0.0801446696674527	0.0181269927710634	0.00113587624007613	0.0023647733653036	0.000392388659276445	0.0150368214179682	0.00948766742557217	0.0308552697649203	0.0582386097803612	0.000970425253203621	0.00979432988933832	0.04011325337616	0.028163973747908	0.00493360055357556	0.511962364584055	0	0.563308312314039	0.881578995254274
DTB.071.A	0.0511260192462469	0.0119132915655146	0	0.0634948742339069	0.0205313685533921	0.0075951118959575	0.00511046309462778	0	0	0	0	0.00555712378998132	0.000418894681087259	0.119280720387491	0.0168337379820044	0	0.00504035571645023	0.000378861210745283	0.0129334876886304	0.00774731700035659	0.0268363741632515	0.0932477806136933	0.00566324340351929	0	0.0367261232234051	0.0238626026223493	0.0100063308161163	0.475695918111273	0	0.530962776201955	0.894388779084035
DTB.074.D	0.0686344032222019	0.00371786707970253	0.0071924115423458	0.0374946233538341	0.172627885733283	0	0.00619690094719645	0	0	0.017361758756823	0	0.00145960994126682	0.0161171975989981	0.0359742718625449	0.0243372177345278	0	0.0183140299087122	0.00256786450633464	0.0198658408882521	0.0668879447885615	0.0308425148793454	0	0.0344295284411483	0.035718106380281	0.0831866398465908	0.0125076460134642	0.00540322469710603	0.29916251187748	0	0.581913919159248	0.846110301097154
DTB.077.ProC	0.0428923089701141	0.0132233727419339	0.0299716930210366	0.0560289558303228	0.0319678337552015	0.00368488995277742	0.00702463247461601	0.00920793265472885	0	0.00720890896392028	0	0.0132982708817311	0.0107220530624162	0.0406126265454989	0.0179661196045655	0	0.0640645976768163	0.00769827460162198	0.0246987780243118	0	0.0228931302446376	0.000705516810512552	0.00944072539865003	0.0113660863264825	0.0580159860559993	0.0200201252480457	0.00735493321146224	0.489932247942597	0	0.860775422271351	0.716720636067718
DTB.080.ProC	0.082953948320219	0.00158249070336037	0.0591282945244813	0.0449682212198596	0.0554430053493063	0	0.00309764684307406	0.147090562365765	0.0810390197903953	0.0222389791478398	0	0.0081642447230822	0.0579855638712432	0.0606841857390602	0.0398664308159557	0.0125849149462135	0.00183895028693027	0.00327066473218696	0.0409125976482246	0.0268112501404283	0.0185439666489539	0	0.0583089540081554	0.07788936934354	0.0239953562792789	0.0134044441776595	0.00975476332187675	0.0484421750529095	0	0.803002494457344	0.8058973227629
DTB.083.A	0.0594058263718918	0.00208093972960607	0.0356939598939209	0.020229316643863	0.0705770315827849	0.00325095073233156	0.00735646561730228	0.0189183968372529	0.0487846293992931	0	0	0.00741545252418416	0.0547954689953234	0.0612288699283123	0.0302895667310164	0.00811688714213981	0.0451683499633524	0.000824254984620013	0.0225969908041033	0.0898850267983117	0.0191678237484305	0.00824587433365391	0.0620348492121558	0.00744448448284649	0.0138172650412685	0.0201435837605713	0.00876757406172529	0.273760160679738	0	0.771305756221101	0.750402319321203
DTB.090.ProB	0.0518802936429902	0.00815652747557515	0.00847720172746468	0.0439669920976151	0.029167641311839	0.0115166806894541	0.0106769738537969	0.00320177991049004	0	0.00252694022335548	0	0.00169884318779346	0.0163899879468431	0.0531095335611229	0.023075886967853	0	0.00628008333531849	0.00034840605930232	0.0219563401934962	0.00755466586229756	0.0265138862332459	0.0272728848130248	0.00351828939425544	0	0.0340105609978832	0.0149440322509202	0.0125988775670734	0.581156690696989	0	0.523454225623836	0.887141420100654
DTB.091.B	0.00776746246155652	0.00725053238572346	0.0347828624545318	0.0690421994249612	0.0303193113400802	0.0122995235406721	0.00501701348051983	0.00954785728601248	0	0.017710081803229	0	0.000168447003747034	0.0267467697198323	0.0717338756449983	0.0242795022676577	0	0.033420573946115	0.000176292997231073	0.0158663093685334	0.0011632446562024	0.0188336392427689	0.0228007356158075	0.0219175666765173	0.0149257854796072	0.0500092778539566	0.0251928625060877	0.0126803025840308	0.46634797025962	0	0.766746390816865	0.805264089394007
DTB.092.C	0.010581825966553	0.0130273204704157	0.0259843677130885	0.0448648063544712	0.035691734308149	0.00692289977564129	0.00145917869260756	0.00621439090234607	0	0.00561135694259819	0	0	0.0174963647635917	0.0684153083294	0.0237934574418401	0	0.0913749843359757	0.0140905534480369	0.016532324120344	0	0.0174562351747756	0	0.0332081158073303	0.0130371579207846	0.0651532836474037	0.0142658535133439	0.00449779836878015	0.470320682002523	0	0.814373825152777	0.690576190624474
DTB.097.C	0.0477860638371591	0.00760402550763498	0.00466234205347894	0.0575572746985732	0.0527943450855306	0.0325865093471977	0	0.00566962276465218	0.0264348116256974	0.00656341625641803	0	0.000775658520981365	0.0207025930685309	0.182938970592803	0.030585998049649	0.0320401756762722	0.162654166330641	0.00176113867956771	0.0192287020971811	0	0.0121591830539868	0.0233925760001403	0.0455100831608935	0	0.0204314333370598	0.0215295983086527	0.0147182105605791	0.169913101386719	0	0.937922129717929	0.432113393465285
DTB.097.ProA	0.0413725396491804	0.00125999895851979	0.00026681204714121	0.0816969088904335	0.0768611489610304	0.0133216013653724	0.000199054465787442	0	0	0.0170551879428268	0	0.0117945714719459	0.0188305801305396	0.129631480996061	0.0230814273879133	0.00170999655349804	0.0786610719679924	8.98796119740469e-05	0.0230349464019541	0.0387022422850298	0.0162232072975646	0.0534957897976327	0.0607502499882505	0	0.0598259174237857	0.0236780373745129	0.0144886167427655	0.213968732288288	0	0.749478145485873	0.73928207899591
DTB.098.Pro2C	0.0580966723445949	0.0198044865557525	0.00658229630337507	0.0857700438006235	0.043699779115748	0.0171657092058193	0.00849255378849397	0.0171454448163268	0	0.0246504342114129	0	0.0140057744582786	0.0279437820720764	0.0758585172899845	0.0211590022927585	0	0	0.000224992291034744	0.012050788189843	0.0264329889494816	0.0281407472498439	0.00559661795889553	0.00526787595045249	0	0.0277469840183567	0.021152556186917	0.0179266875756068	0.435085265374324	0	0.383203883304857	0.934501247066192
DTB.101.A	0.029787522172069	0.0138866738740435	0.0142340543308473	0.0403528739207302	0.0293275729593311	0.00138444142549129	0.00704247909291453	0.00270280716670789	0	0.0121722955065067	0	0.00363624713651412	0	0.0525550729551812	0.0230236310252538	0	0.00508700780778706	0.000608163981775981	0.0144014099970465	0.0152462615464979	0.0247455511642337	0	0.0135693764944314	0.0072696444718602	0.0764765493629576	0.0148749350821517	0.011831129633138	0.585784298892529	0	0.592462689221505	0.86376035167889
DTB.111.ProA	0.0526584485450634	0.0124347252787121	0.0286205487039516	0.0294543927248032	0.0618091214751234	0.00515217209653499	0.00550280612025811	0	0	0.0326376753144335	0	0.00750279799175438	0.0118570140758813	0.0456195356881534	0.0235562621203662	0	0.00523334962430875	0.000306425443505304	0.0177443116459214	0.040115739860627	0.0219462390822721	0	0.0118036390656101	0.00489984233153766	0.0576168481088739	0.0213368678719294	0.00486265493671899	0.49732858189366	0	0.735454958923874	0.819713451957619
DTB.112.E	0.0422084507190267	0.00332804919966492	0.00149336185937191	0.0520483661508609	0.0811629145970193	0.00376831914452704	0.00369580318837266	0	0	0.0483328290814382	0	0.00875458759363769	0.0228791675519764	0.0345005637831399	0.0114556182090069	0.00335519670909	0.0021658203439003	0.000791351577996431	0.0142285755865339	0.0351521390523676	0.0202565502928933	0	0.0115261850243568	0.0454140414761527	0.05458858398076	0.0162177419095936	0.00342504255719976	0.479250740411113	0	0.68526737331881	0.837106954800574
DTB.119.ProB	0.0090307285326979	0.00765514260409083	0.0358992815597314	0.0610437478055907	0.0481894549634116	0.00614172482679548	0.00618525339873679	0.00733492835756935	0	0.0163747996387082	0	0.0105003234018719	0.0182203718746438	0.0758018426105524	0.0228554177884108	0	0.0700921848385782	0.00223494060710981	0.0122526273208344	0.00509658324484319	0.0147796359953972	0	0.0273535811107726	0	0.0433929197674389	0.0217589365448152	0.0107502574395165	0.467055315767883	0	0.713481933050412	0.776026625136955
DTB.124.A	0.0786051713937513	0.00988757487859257	0.0186486478170463	0.041653698303064	0.0531849471960582	0.00879018712942997	0	0	0	0.0352425561052196	0	0.011497385327573	0.00839168337181218	0.0855404857025954	0.0411083132619857	0.00490462091043938	0.0611436436632162	0.0219012993237201	0.0265352127473335	0.00692037060034149	0.0171710601224671	0.0177838359349383	0.0163591752203659	0.00408252090502539	0.0475642019594113	0.028260095694987	0.0111723979577472	0.343650914472879	0	0.80504858311227	0.756737848154394
DTB.126.A	0.0666546851346402	0	0.0353093984351831	0.0352719299997963	0.0462433236305036	0.00751461694094247	0.0146525617574075	0.0269728264932948	0	0	0	0.023187931211447	0.0391913073586552	0.0695287301439419	0.0247400517506648	0.00760846475555048	0.107221135460369	0.00180895069359107	0.019427977218418	0.0305112586003646	0.0224278930278289	0.0106149835755579	0.0518271008187061	0.00458891229923137	0.0432624910711609	0.0200850065711085	0.00696835803513115	0.284380105016505	0	0.830755370550482	0.644623166888084
DTB.127.ProA	0.0286908024881265	0.0180607378340753	0.0181060763848512	0.06488254171834	0.0164766085614967	0.00897220718461963	0.00935415079360642	0.0148393084782076	0	0.0521247072846482	0	0.00454883128387005	0.020914653778412	0.0344582015950111	0.019243568715801	0	0.000635159398080224	0.000383692087809442	0.0145103317135657	0.010162303653358	0.0277572963397792	0	0.00142741379819357	0.000509378018899055	0.0424605891479666	0.0298852416697481	0.0144208426567904	0.547175355414744	0	0.674847048662731	0.843671783592583
DTB.128.BL	0.0317939055370156	0.00849134694982149	0.0093693374834738	0.0105132752318539	0.0236185520452801	0.00559087246962119	0.00336915012745366	0	0	0.011039423043389	0	0.0124236124558553	0	0.0895168706234581	0.0179862341086768	0.00649701598221416	0.0245814449039018	0.00396783522356605	0.00844317611921965	0	0.0273481088352657	0.019547763423473	0.0202205833601477	0.0294020278345844	0.0472702467155008	0.0277125223100921	0.00137730413262096	0.559919391083515	0	0.80180349740883	0.788660799831048
DTB.129.B	0.0632774815875863	0.00985246157597117	0.0348876659414339	0.0159486525010413	0.0442825536967635	0.0143487188717318	0.00797872209554277	0	0	0.00859777714397011	0	0.0132583785182078	0.0162114695184796	0.0553264810134281	0.0296856294059671	0	0.0214909250649933	0.000394151372183356	0.0249332943389064	0.014548011465313	0.0233666685606275	0.0248356136171309	0.00330043883306226	0.00533688684619806	0.0436420282113687	0.0322492110732862	0.0110992035455512	0.481147575201256	0	0.724339588851567	0.825020602295183
DTB.132.BL	0.0186382148660729	0.0153469698613368	0.0294551016842253	0.0583859148611724	0.0543833097635898	0.00272741493421363	0.00374369976125763	0.00418528169977586	0	0.0134099297938994	0	0	0.0338365713767898	0.0631385462377824	0.0111100354772704	0.0140328825132522	0	0.000751740915291271	0.0170223813182805	0.0343157842278034	0.0211027545215001	0	0.0126813697744339	0.011542853432887	0.0430166525361967	0.0259800385420549	0.00534522803059584	0.505847323870318	0	0.729306489743293	0.82523878250399
DTB.138.D	0.0239350883027159	0.00350082211637236	0	0.0900359264582195	0.0233692421610268	0.00215857987383453	0.0022564193837127	0.000326903291621347	0	0.0294006311195333	0	0.00875216780616878	0.00276069467942345	0.117852278878078	0.0421012027397963	0.00618284667731818	0.0125490957686733	0.000415252312284656	0.0115925901941902	0.0110744869167513	0.0211069363808689	0.0529129131620518	0.0104277772519681	0	0.0415565375310647	0.020998547896765	0.0110822912780686	0.453650767819493	0	0.656866293574921	0.858509426741397
DTB.141.A	0.0656588309235348	0.00703973647524243	0.04539858768987	0.0326878117519913	0.0543482273943173	0.0317673126784864	0.00742414177580542	0.0223996510296635	0	0	0.0286964438587832	0.0108816859280288	0.0210222210538136	0.128703060694817	0.0467566154864567	0	0.0731146300575779	0.00917386966602508	0.0165486162872454	0.00377389790641106	0.0264044112397792	0.0122889914374831	0	0.0246730320686317	0.0513903399190271	0.0209535097166307	0.00746257028570927	0.251431804674669	0	0.792055390218189	0.744143065350027
DTB.143.C	0.0255248946473321	0.00891273313336727	0.0186833865359789	0.0377188678835052	0.0338027417308009	0.00328830953620867	0.00725857794677965	0.00770371523208234	0	0.0262921680448255	0	0.00969191437861285	0.0245910858801661	0.0500925320019341	0.021487605236996	0	0.0820373130138622	0.0110467424958417	0.0178183094121306	0.00167084574097136	0.0182924068706006	0	0.00405947089024447	0.0133438719357712	0.0404123958422797	0.0202387936718237	0.00854497747834119	0.507486340459544	0	0.859441814832202	0.677579697604787
DTB.148.A	0.0285689820032975	0.0058459215180942	0.0215116190378153	0.0523179552262808	0.0619796517761449	0.0116814969219114	0.00454488898532644	0.00534939706444742	0	0.00928718986627044	0	0.011888433198695	0.0111091422480352	0.093434094379397	0.0332479836657877	0	0.0801097703583621	0.00059969505979108	0.029394554923052	0.00254121284285991	0.0165196355659692	0.0171439408744313	0.0227397329036946	0	0.0367392481119729	0.0275553556368429	0.0108002127912728	0.405089885040248	0	0.815043694695274	0.710932404566411
DTB.149.A	0.0300781801190049	0.0100117924895939	0.0306155717515615	0.0528138117885323	0.0317900910219394	0.0540347309647887	0.0068268977332458	0.0196552220182744	0	0.026378399463631	0	0.00524160753242476	0.0199411732497737	0.114142758848613	0.0294151279520448	0.00434255796512829	0.0135075944874506	0.00331766668374085	0.0108455291994741	0.00760491369271922	0.0313634252984472	0.0306076452860628	0.0330129665554666	0.0382645437293137	0.0467449670464161	0.019184120713622	0.0140974602078749	0.316161244200856	0	0.638688401236446	0.871706598875106
